d,model,num_iters
8,simple_cgp_sam,162
8,simple_cgp_sam,2325
8,simple_cgp_sam,3142
8,simple_cgp_sam,1616
8,simple_cgp_sam,3869
8,simple_cgp_sam,4058
8,simple_cgp_sam,9535
8,simple_cgp_sam,304
8,simple_cgp_sam,1620
8,simple_cgp_sam,1537
8,simple_cgp_sam,2038
8,simple_cgp_sam,206
8,simple_cgp_sam,439
8,simple_cgp_sam,996
8,simple_cgp_sam,3428
8,simple_cgp_sam,645
8,simple_cgp_sam,853
8,simple_cgp_sam,783
8,simple_cgp_sam,569
8,simple_cgp_sam,795
8,simple_cgp_sam,3036
9,simple_cgp_sam,529
9,simple_cgp_sam,2584
9,simple_cgp_sam,901
9,simple_cgp_sam,1718
9,simple_cgp_sam,2543
9,simple_cgp_sam,1025
9,simple_cgp_sam,1165
9,simple_cgp_sam,1810
9,simple_cgp_sam,3758
9,simple_cgp_sam,1344
9,simple_cgp_sam,3828
9,simple_cgp_sam,218
9,simple_cgp_sam,3381
9,simple_cgp_sam,5443
9,simple_cgp_sam,440
9,simple_cgp_sam,7101
9,simple_cgp_sam,1161
9,simple_cgp_sam,3020
9,simple_cgp_sam,2745
9,simple_cgp_sam,453
9,simple_cgp_sam,3197
9,simple_cgp_sam,1040
9,simple_cgp_sam,3382
9,simple_cgp_sam,4595
9,simple_cgp_sam,1652
9,simple_cgp_sam,1412
9,simple_cgp_sam,2539
9,simple_cgp_sam,1510
9,simple_cgp_sam,242
9,simple_cgp_sam,2702
10,simple_cgp_sam,318
10,simple_cgp_sam,1619
10,simple_cgp_sam,3089
10,simple_cgp_sam,6220
10,simple_cgp_sam,5285
10,simple_cgp_sam,822
10,simple_cgp_sam,2283
10,simple_cgp_sam,2728
10,simple_cgp_sam,644
10,simple_cgp_sam,4553
10,simple_cgp_sam,6979
10,simple_cgp_sam,7383
10,simple_cgp_sam,3316
10,simple_cgp_sam,4769
10,simple_cgp_sam,3637
10,simple_cgp_sam,4732
10,simple_cgp_sam,3590
10,simple_cgp_sam,740
10,simple_cgp_sam,4173
10,simple_cgp_sam,2580
10,simple_cgp_sam,1232
10,simple_cgp_sam,3020
10,simple_cgp_sam,13396
10,simple_cgp_sam,656
10,simple_cgp_sam,879
10,simple_cgp_sam,4349
10,simple_cgp_sam,616
10,simple_cgp_sam,11514
10,simple_cgp_sam,4030
10,simple_cgp_sam,1459
10,simple_cgp_prob,11256
10,simple_cgp_prob,3688
10,simple_cgp_prob,3518
10,simple_cgp_prob,3616
10,simple_cgp_prob,2911
10,simple_cgp_prob,3532
10,simple_cgp_prob,18905
10,simple_cgp_prob,5944
10,simple_cgp_prob,9399
10,simple_cgp_prob,5507
10,simple_cgp_prob,6015
10,simple_cgp_prob,3548
10,simple_cgp_prob,8080
10,simple_cgp_prob,3359
10,simple_cgp_prob,5318
10,simple_cgp_prob,2819
10,simple_cgp_prob,18388
10,simple_cgp_prob,1971
10,simple_cgp_prob,5494
10,simple_cgp_prob,3890
10,simple_cgp_prob,2274
10,simple_cgp_prob,6267
10,simple_cgp_prob,4388
10,simple_cgp_prob,4386
10,simple_cgp_prob,2767
10,simple_cgp_prob,6302
10,simple_cgp_prob,7441
10,simple_cgp_prob,6349
10,simple_cgp_prob,7455
10,simple_cgp_prob,8885
1,simple_cgp_prob,0
1,simple_cgp_prob,4
1,simple_cgp_prob,5
1,simple_cgp_prob,8
1,simple_cgp_prob,2
1,simple_cgp_prob,0
1,simple_cgp_prob,0
1,simple_cgp_prob,12
1,simple_cgp_prob,0
1,simple_cgp_prob,0
1,simple_cgp_prob,0
1,simple_cgp_prob,0
1,simple_cgp_prob,0
1,simple_cgp_prob,0
1,simple_cgp_prob,27
1,simple_cgp_prob,15
1,simple_cgp_prob,9
1,simple_cgp_prob,3
1,simple_cgp_prob,0
1,simple_cgp_prob,0
1,simple_cgp_prob,0
1,simple_cgp_prob,0
